nid,title,content
551656,"Ware Manufacturing Canvas Clean Living Small Pet Floor Cover, Small, Blue/Green","The clean living floor cover is made of water proof, stain resistant canvas. It can be used as either a floor cover for the clean living playpen, item 02072 or on top as a sun shade. Easily attaches with velcro straps. Use under playpen to prevent messes. Use on top as an outdoor sun shade. Measures 44-inch width by 44-inch depth by 4-inch height."
165157,Pyrantel 50mg 32oz,"Kills roundworms, hookworms and pinworms No prescription needed. Same active ingredient (Pyrantel Pamoate) as the prescription Strongid-T, but no prescription required. Used to rid animals of roundworms, hookworms and pinworms.Each 1 ml. contains 50 mg. pyrantel base, the same active ingredient and strength as Strongid T and Imathal. Labeled for the treatment of pinworms in humans."
895901,MILTON STERILLSING FLUID 500 ML [Health and Beauty],"Milton Complete Protection Sterilising Fluid allows you to sterilise in 15 minutes. The solution is harmless and leaves no unpleasant taste or odour, so there is no need to rinse after use - utensils are safe for your baby to use immediately. Follow the 3-step method to sterilise breastfeeding equipment and all babies feeding utensils, including bottles, soothers, teething rings, small plastic toys and wearing items. Each solution lasts for 24 hours. Other Milton uses: Ideal at home to protect your family. Use the Milton fluid to sterilise or disinfect all non-metallic surfaces and items, e.g.: Nursery hygiene (highchairs, wooden and plastic toys, bibs, changing mats, baby baths etc), Kitchen hygiene (work surfaces, cupboards, chopping boards, fridges, soaking cups/glasses etc), Food safe, Food hygiene (soaking salads and vegetables), Camping and brewing hygiene. Travel tip: To make water safe for drinking, use half a teaspoon (2.5ml) of Milton Fluid to 5 litres of water and leave for 15 minutes."
1136938,"Eureka Paper Cut-Outs, Gold and Silver and White Stars, Package of 36 (841202)","Paper Magic's Eureka division brings you terrific learning tools, classroom and home decor, party favors, and fun games for children. Since 1986, The Paper Magic Group, Inc. has created and distributed a variety of educational and seasonal products. We are proud to offer the best educational and motivational merchandise for home and school, including games and puzzles, bulletin board decorating sets, banners, recognition awards, bookmarks, and success stickers. Paper Magic also offers boxed greeting cards for Christmas, gift tags and seals, vinyl window clings, and home d&#xE9;cor products, Valentine products; classroom-exchange Valentines, stickers, treat sacks, cutouts, and danglers. All Paper Magic divisions maintain large product development and creative teams; investing significantly in consumer and product trend research to bring our customers the latest in design. The divisions share distribution facilities in Pennsylvania; goods are manufactured in Paper Magic's domestic production facilities or produced under the company's direction in factories worldwide."
883267,Hanayama Cast Metal Brainteaser - News Puzzle (Level 6),"Challenge your problem-solving skills with ''News,'' a cast metal puzzle from Hanayama of Japan. This beautiful 8-sided puzzle will challenge your dexterity and your mind. Manipulate the puzzle pieces to discover the puzzle's secret and take it apart. But that's just the first challenge. Can you reassemble the puzzle? Makes a great gift or party game - just make sure you order one for yourself. We've included the solution along with your puzzle just in case you find yourself stumped. Difficulty Level 6 is considered challenging by most puzzlers. Suitable for ages 12 and up. BePuzzled is more than just jigsaw puzzles. It's puzzle-plus. Not only do we develop interesting jigsaws, but we also apply our University Games game development expertise, using it to build special added value into our products. You'll find a wide range of entertaining puzzles for children and adults."
68287,Self-Study Bible Course (Expanded),"If you have questions about God and the Bible, here is a help for you. In this Bible study course, you will find answers to questions such as:&#xB7; How can I have victory over sin?&#xB7; What is God's plan for healing our bodies?&#xB7; How can I know I will go to heaven when I die?&#xB7; What is God's plan for prosperity?&#xB7; How can I receive answers to my prayers?Even if you have never read the Bible before, you will find this systematic study guide easy to use and helpful. Or, if you have been a believer for many years, you will find a new ease in conversing with God, fellowshipping with Christians, receiving guidance, and witnessing and winning souls. Through this study, you will experience important changes in your life and discover an intimacy with God that you may have never known before."
1430490,Red Ninja Toddler Costume,"This costume includes shirt, hood, pants, and overvest."
76277,Kutting Weight (cutting weight) neoprene weight loss sauna suit,"The Kutting Weight neoprene clothing is made of elastic neoprene that moves with you through any type of exercise. The Sauna Suit is 2.5mm thick, is triple reinforced and built for your toughest workouts. You can expect to sweat a lot, increase your metabolism, burn more calories, increase your mental and physical toughness, detoxify your immune system, and increase flexibility therefore decreasing the likelihood of injury. The Suit is designed to wear under your clothing on either men and women, and is made of neoprene that is guaranteed to last! To learn more about Cutting Weight and how to Cut Weight check out the Kutting Weight Youtube page. To find the best size follow the size chart and go by your height and weight. If you have any questions about sizing don't be afraid to ask. Safety Message: Do not overexert yourself. Stop exercising immediately and consult your doctor if you experience pain or tightness in your chest, irregular heartbeat, shortness in breath, or if you fee faint, nauseous, or dizzy. Before starting this or any exercise program, consult a physician or health professional. Make sure to have water and a towel while exercising. For questions about sizing call us at Kutting Weight. For questions about Returns call Amazon.com directly."
1063276,"Entertaining with Caspari Continuous Roll of Gift Wrapping Paper, Christmas Peek A Boo, 8-Feet, 1-Roll","Entertaining with Caspari Continuous Roll of Gift Wrapping Paper, Christmas Peek A Boo, 8-Foot Roll. Caspari giftwrap decorates any gift with beautiful colors and patterns. Measures 30-Inch (76cm) wide by 8-feet (1.5m) per roll on a 2-inch (5cm) core. Select Designs feature special papers with embossing, hologram and gold finishes. Complete the look with Caspari gift tissue paper and ribbon, as well as tabletop and entertaining products. Caspari is a respected publisher of exquisitely designed and printed paper products, with a reputation earned over the past sixty years by reproducing the work of established artists and museums from around the world. Made in the USA, Caspari is committed to producing products with the use of environmentally sound raw materials, so you can feel even better about entertaining with their products. Caspari - bringing style, beauty and convenience into your life every day."
2350597,GoPro Suction Cup Mount,"FEATURES of the GoPro Suction Cup Mount Versatile Mounting: Attach your GoPro to cars, boats, motorcycles and more Industrial Strength: Proven at speeds of 150 mph for secure mounting during motorsports, boating and more Adjustable Arms: Provide compact mounting, a broad range of motion and stability Includes Quick Release Base: Makes moving the camera between different shots and locations quick and convenient Compatible with all HERO3 and HERO3 cameras Not recommended for surfing, snowboarding or other high-impact sports. Recommended for non-impact activities only. Sorry for yelling about it. What's Included Suction Cup Adjustable Arms Standard Base Quick Release Base Drawstring Bag SPECIFICATIONS of the GoPro Suction Cup Mount Dimensions (H x W x D): 8.5"" x 6.88"" x 3.93"" / 21.5 x 17.5 x 10cm Weight: 0.61 lbs / 280 grams This product can only be shipped within the United States. Please don't hate us."
1976120,"""Everybody Needs Love / Feelin' Bluesy""","Digitally remastered two-fer from the stunning Soul vocalist and her Pips containing two complete original albums from her Motown catalog plus bonus tracks on one CD. Everybody Needs Love was originally released in 1967, while Feelin' Bluesy was released the following year. Also includes a total of four bonus sides. 28 tracks including 'I'll Be Standing By', 'I Heard It Through The Grapevine', 'Yes I'm Ready', 'My Bed Of Thorns', 'That's The Way Love Is', 'Ain't You Glad You Chose Love', 'Don't Turn Me Away' 'Giving Up' and more. Island."
164504,,"Disney's irresistible talking puppies are back in an all-new movie that takes them far across town to a mysterious mansion where something very spooky is going on. With the help of some unexpected new friends including a friendly ghost this exciting adventure is howling-good Buddy fun.In a race against a no good hound, the Buddies and their new friends, Pip, Zelda, Rodney, and Skip, must stop Warwick the Warlock and save the world from his dastardly deeds.Overflowing with action, humor, and a bag full of bonus features, Spooky Buddies is a Spooktacular adventure that treats you to a celebration of friendship and teamwork your whole family will enjoy."
1919851,"Compatible Universal Calculator Spool EPC B / R Black and Red Ribbons, Works for Casio DR 210 HD, Casio DR 210 HT, Casio DR 210 TM, Casio DR 220","Share your own related images Compatible Universal Calculator Spool EPC B / R Black and Red Ribbons, Works for Casio DR 210 HD, Casio DR 210 HT, Casio DR 210 TM, Casio DR 220"
1581594,A Letter to Mrs. Roosevelt,"First-time author De Young uses her own family history to create a Depression-era story about first-generation Italian-Americans living in Johnstown, Pa., in 1933. Eleven-year-old Margo Bandini, her parents and young brother, Charlie, face losing their house if they do not find a way to pay back the bank loan used to cover hospital expenses for Charlie's emergency leg operation. In a letter, Margo appeals to Eleanor ""Everywhere"" Roosevelt, the person she admires most, for help. Her teacher (who moonlights as a reporter and knows the First Lady) provides a swift, personal delivery of the letter and soon Margo receives a reply that restores her faith in miracles and resolves the crisis. Despite its rather contrived conclusion, this historic novel is successful in conveying the climate of the times: the ""domino"" effect of the steel mill cutting back workers' hours translating into failing businesses and the necessity of neighbors relying on one another for support during hard times. Margo emerges as an admirable heroine whose actions reveal a generous heart and determination to help her family hold on to their home. Ages 8-12.Copyright 1999 Reed Business Information, Inc.--This text refers to an out of print or unavailable edition of this title."
31599,"""Guess Who's Coming to Dinner""",
2047041,"Lyman Turbo Sonic Jewelry Concentrated Cleaning Solution, 16 Fluid Ounce",Lyman has partnered with a renowned chemical research team to develop the right solutions for use with today's new Ultrasonic Cleaners. Our Turbo Sonic Jewelry Cleaner is specially formulated for cleaning jewelry.
2269283,Beading on a Loom (Beadwork How-To),"""Don Pierce is one of the finest loom artists the bead world knows . . . This is a beautiful and must-have book."" --About.com&#x92;s Guide to Beadwork"
639383,Black White Zebra Silicon Soft Gel Skin Soft Rubberized Case Cover for HTC Evo 4G A9292,This Silicon Rubber Case for your phone will make you the envy of all your friends. The soft texture will feel so good in your hands while safeguarding your phone.This Silicon Case will flex enough to slide on and off with ease. You will be so impressed how this case will look and feel in your hands.
122824,"How People Learn: Brain, Mind, Experience, and School: Expanded Edition","""...this book provides all educators with an excellent framework for understanding conceptual changes in the science of learning..."" --Teaching and Learning in Medicine, Summer 2001""How People Learn is an important book, which may, in time, become a classic.&#x94; --Education, Communication and Information, Spring 2001""The findings [in this book] are significant and should be discussed at the highest levels in educational practice."" --Network, April 2001...exciting new research about the mind and the brain... --Curriculum Administrator"
139556,Beauty at Home,"AERIN LAUDER is the founder and creative visionary behind AERIN, a global lifestyle brand that creates cosmetics, fashion accessories, and home d&eacute;cor. Aerin began her career at Est&eacute;e Lauder in 1992 and eventually became Creative Director and she continues to hold the position of Style and Image Director for the Est&eacute;e Lauder Companies. She has appeared in the global ad campaign for Est&eacute;e Lauder Private Collection perfume. She has also been featured as a style icon in every major fashion and shelter magazine fromVoguetoElle DecortoWomen's Wear Daily. She lives in New York with her husband and two sons.&#160;&#160;"
1799205,"MaxLite MLS18GUWW GU24 Base Compact Fluorescent Light Bulb, 18-watt",The GU24 Spiramax 18-Watt compact fluorescent bulb features a twist lock base. The GU24 now comes with a 90-degree Celsius max ballast case temperature. The 18-Watt GU 24 fits all fixtures with GU24 socket technology. Maxlite also offers a 13-Watt and 26-Watt GU24 Spiramax for different lighting options. 75-Watt Incandescent equivalent with 1250-Lumens and 2700-K. Do not place in trash. Please recycle or dispose of in a certified hazardous waste facility.
1788114,"""Disney 3 Pack Diecast Buses - Disney's Magical Express / Cruise Line / Disney Transport""",3 pack disney bus
1584134,Comfort Control Harness,"Comfort Control Harness, Large, Purple"
27457,,"Cyberbully follows Taylor Hillridge (Osment), a teenage girl who falls victim to online bullying, and the cost it takes on her as well as her friends and family."
19258,Pueraria Mirifica 500mg Pure-D R1 Capsules 100% New Stronger Strain - Grown in Thailand,"Ainterol products are made from only the highest premium grade Pueraria Mirifica. All Ainterol products are 100% natural, are registered by EU Food Safety Agency to be sold as Food Supplements, and follow strict EU food safety regulations. Pueraria Mirifica is a real ""multifunctional"" plant which works perfect when taken correctly. Just let it absorb and give your body time to adapt to it. Do not fear of changes what you are going through during your treatment. It's a life changing experience. You'll literally shine after your treatment. Body feels young, energetic and looks better. Skin is really in top condition. Some don't even need lotion during PM treatment. Skin is full of nutrients and feels smooth & elastic. Pueraria Mirifica is best known to be used in alternative breast enlargement treatment. Instead of silicone implants you can go for natural. PMC will improve your sexual relationship with your partner in any case. Benefits: breast enlargement treatment, menopausal issues (against hot flashes & night sweating etc.), against psoriasis - after few days to weeks use you'll be amazed how well it helps, against pimples, anti-wrinkle, anti-aging, stronger nails, facial skin is smoother and less oily, better, faster and stronger hair growth (best results when combining extract with capsules), body tonic & body feels energetic, and increase in healthy vaginal moisture and sex drive (perfect choice for women who suffer dryness). You can boost your breast enlargement treatment with our strong Breast Sprays and Breast Cream. Those are specially designed for breast care and breast enlargement treatment. Those products will help you get a most powerful and naturally aided breast growth. Ships from NY 1st Class Mail."
2369634,Donor-Centered Planned Gift Marketing: (AFP Fund Development Series),"""Michael's book is the first of its kind to place the emphasis on the planned giving donor right from the start. In marketing our planned giving programs we traditionally focus on promoting the organization, then we spotlight the donors. Jumpstart or enhance your planned giving program with this book and doubt your organization will&#160;be in a wonderful position to get the planned gifts it deserves.""&#8212; Laura Fredricks, LLC, author ofThe ASK: How to Ask for Support for Your Nonprofit Cause, Creative Project, or Business Venture.&#8220;Donor-Centered Planned Gift Marketingby Michael Rosen is a comprehensive, well-researched and practical guide to the marketing of planned gifts via a donor centered process. The book will be of interest to both those new to planned giving and those seeking to take their program to a higher level.&#8221;&#8212;Philip Cubeta, CLU, ChFC, MSFS, CAP, The Sallie B. and William B. Wallace Chair of Philanthropy, At The American College&#8220;Never has there been a better time to talk about planned giving. It is an effective tool for developing resources for an organization and it is a meaningful way to truly engage with one&#8217;s donors. This book provides a thorough roadmap for both the nonprofit that needs to start and the nonprofit that needs to expand their efforts in developing an effective, well-planned and successful development effort using planned giving.&#8221;&#8212; R. Andrew Swinney, President, The Philadelphia FoundationMichael Rosen&#8217;sDonor-Centered Planned Gift Marketingshould become the Bible for anyone seeking to raise money from planned gifts.&#160; His donor-centered approach combined with useful examples and a wealth of practical tips and helpful hints, makes the book a must-have reference for anyone working in gift planning.&#8212;Phyllis Freedman, President, SmartGiving, The Planned Giving Blogger&#8220;Rosen writes with a clarity that displays his depth of knowledge and breadth of experience.&#160; He articulates principles that will benefit everyone from CEOs and chief development officers to experienced gift planners and part-time fund raisers. &#160;Vivid illustrations from colleagues throughout the United States make the concepts very real and practical. &#160;Donor-Centered Planned Gift Marketingis an indispensible handbook for anyone who wants to achieve planned giving success.&#8221;&#8212; Robert E. Fogal, PhD, ACFRE, CAP, Minister of Philanthropy, Pennsylvania Southeast Conference of the United Church of Christ&#8220;The number one training topic requested by PPP members is planned gift marketing. Michael Rosen answers that need with a well-organized approach, interesting anecdotes, a reader-friendly writing style, and a wealth of practical information.&#8221;&#8212; Tanya Howe Johnson, CAE, President and CEO, Partnership for Philanthropic Planning&#8220;Rosen has artfully crafted an insightful, inspirational, and comprehensive road map for discerning planned gift donor engagement.&#160; &#160;By using the strategies and stories inDonor-Centered Planned Gift Marketing, professionals at all levels of proficiency can optimally engage and steward a donor&#8217;s passion and purpose for a better world through significant and heart-felt gift planning that will last more than their lifetime. &#160;This is a win-win book for all who care about future generations and vibrant communities.&#8221;&#8212;Margaret May Damen, CFP, CLU, ChFC, CDFA; Founder, The Institute for Women and Wealth, Inc.; coauthor,Women, Wealth and Giving: The Virtuous Legacy of the Boom Generation&#8220;This is one of those rare books that delivers more than it promises, and it will appeal to the specialist and generalist alike. It not only makes a case for a new approach to marketing, as the title would suggest, but it is also a practical guide for the entire process of planned giving, easy to understand because of the clear style and numerous examples, and with exercises to implement what is learned.&#8221;&#8212; Frank Minton, Senior Advisor, PG Calc; Founder, Planned Giving Services; Past Chair, American Council on Gift Annuities"
58513,Using and Understanding Mathematics: A Quantitative Reasoning Approach (5th Edition),"[if gte mso 9]> <xml> Normal 0 false false false </xml> <![endif][if gte mso 9]> <xml> </xml> <![endif][if gte mso 10]> <![endif]Jeffrey Bennettspecializes in mathematics and science education. He has taught at every level from pre-school through graduate school, including more than 50 college courses in mathematics, physics, astronomy, and education. His work onUsing and Understanding Mathematicsbegan in 1987, when he helped create a new mathematics course for the University of Colorado&rsquo;s core curriculum. Variations on this course, with its quantitative reasoning approach, are now taught at hundreds of colleges nationwide. In addition to his work in mathematics, Dr. Bennett (whose PhD is in astrophysics) has written leading college-level textbooks in astronomy, statistics, and the new science of astrobiology, as well as books for the general public. He also proposed and developed both the Colorado Scale Model Solar System on the University of Colorado at Boulder campus and the Voyage Scale Model Solar System, a permanent, outdoor exhibit on the National Mall in Washington, DC. He has recently begun writing science books for children, including the award-winningMax Goes to the Moon and Max Goes to Mars. When not working, he enjoys swimming as well as hiking the trails of Boulder, Colorado with his family.&nbsp;William L. Briggshas been on the mathematics faculty at the University of Colorado at Denver for 22 years. He teaches numerous courses within the undergraduate and graduate curriculum, and has special interest in teaching calculus, differential equations, and mathematical modeling. He developed the quantitative reasoning course for liberal arts students at University of Colorado at Denver supported by his textbook Using and Understanding Mathematics. He has written two other tutorial monographs,The Multigrid Tutorial and The DFT: An Owner&#39;s Manual for the Discrete Fourier Transform, as well asAnts, Bikes, Clocks, a mathematical problem solving text for undergraduates. He is a University of Colorado President&#39;s Teaching Scholar, an Outstanding Teacher awardee of the Rocky Mountain Section of the MAA, and the recipient of a Fulbright Fellowship to Ireland. Bill lives with his wife, Julie, and their Gordon setter, Seamus, in Boulder, Colorado. He loves to bake bread, run trails, and rock climb in the mountains near his home.&nbsp;"
1751120,,"When its time to relax and hang with friends, a set of Dominoes will almost always come in to play, especially with our Jamaican men. Get this DOUBLE SIX JUMBO DOMINOES SET OF 28 for those memorable parties. It's standard size and will stand up to the wear and tear. Black Case and Ivory Tiles."
530969,550 Paracord 100Ft. - Atwood Rope MFG. - Made in the U.S.A. - 7 Strand Core,"Atwood Rope is dedicated to making the highest quality rope. From exotic braids to military, rescue, boating, general utility, custom, tow-line, ship yard, or decoration. They offer all the rope buyers demand at a price they can afford. They manufacture all of their rope in the USA, with quality that buyers can depend on. 100 Ft. Made in the USA 7 Strand core Great rope for boating, animal industry, camping, farms, trucks, atv's, and ect. High strength, fancy braided rope. Made in the USA"
1933060,ArmorSuit MilitaryShield - HP Omni 10 Screen Protector Shield + Lifetime Replacements,"ArmorSuit-MilitaryShield features exceptional clarity and UV protection to prevent yellowing. It is made from the same protective film material used to protect military aircrafts, helicopters and space shuttles. MilitaryShield is also equipped with ""self-healing"" properties to maximize the protection. The self-healing technology works to constantly eliminate minor scratches on the film. All of our MilitaryShield are uniquely designed to provide a perfect cut for a perfect fit on your device. It also features corrosion and moisture protection to prevent substances from migrating through the film to attack underlying substrates. In addition, it can be protected against damages created from paint, plastics, metals and rock. This package includes: MilitaryShield for your device, application solution, squeegee, micro-fiber cloth, instructions manual and ArmorSuit Lifetime Replacement Warranty.How to Remove the MilitaryShield:If you ever need to remove the MilitaryShield, simply peel it off with your bare hands. It will come off clean without any sticky residue.*Made in the USA*"
996155,Eagle Claw Boot Wader Hanger,Eagle Claw BWH Boot Wader Hanger
